ID;Inserted At
86768;2020-05-17 00:00:00
78185;2022-04-01 00:00:00
65397;2018-09-01 00:00:00
77652;2020-05-17 00:00:00
84655;2020-05-17 00:00:00
65410;2018-09-01 00:00:00
65423;2018-09-01 00:00:00
78178;2022-04-01 00:00:00
83767;2022-04-01 00:00:00
83774;2022-04-01 00:00:00
86096;2022-04-01 00:00:00
86243;2022-04-01 00:00:00
83594;2022-04-01 00:00:00
86139;2022-04-01 00:00:00
86168;2022-04-01 00:00:00
20002;2014-05-17 00:00:00
27686;2014-05-17 00:00:00
65438;2018-09-01 00:00:00
83723;2020-05-17 00:00:00
83725;2020-05-17 00:00:00
83726;2020-05-17 00:00:00
72730;2020-05-17 00:00:00
58636;2017-05-17 00:00:00
86908;2020-05-17 00:00:00
59357;2017-05-17 00:00:00
82760;2020-05-17 00:00:00
65450;2018-09-01 00:00:00
85533;2022-04-01 00:00:00
59261;2017-05-17 00:00:00
83739;2020-05-17 00:00:00
65463;2017-05-17 00:00:00
207211;2017-05-17 00:00:00
23580;2014-05-17 00:00:00
84659;2017-05-17 00:00:00
84589;2020-05-17 00:00:00
83744;2020-05-17 00:00:00
83736;2020-05-17 00:00:00
133292;2020-05-17 00:00:00
77895;2020-05-17 00:00:00
23134;2014-05-17 00:00:00
23130;2014-05-17 00:00:00
65476;2018-09-01 00:00:00
82764;2020-05-17 00:00:00
27354;2011-05-17 00:00:00
72099;2017-05-17 00:00:00
66031;2017-05-17 00:00:00
81863;2020-05-17 00:00:00
66170;2017-05-17 00:00:00
20065;2014-05-17 00:00:00
77887;2020-05-17 00:00:00
23122;2014-05-17 00:00:00
83671;2020-05-17 00:00:00
57278;2017-05-17 00:00:00
65779;2018-09-01 00:00:00
65794;2018-09-01 00:00:00
65809;2018-09-01 00:00:00
65820;2018-09-01 00:00:00
66876;2017-05-17 00:00:00
60897;2017-05-17 00:00:00
58427;2017-05-17 00:00:00
72728;2020-05-17 00:00:00
84426;2022-04-01 00:00:00
84433;2022-04-01 00:00:00
84709;2022-04-01 00:00:00
57867;2017-05-17 00:00:00
57835;2017-05-17 00:00:00
129519;2020-05-17 00:00:00
81096;2020-05-17 00:00:00
77905;2020-05-17 00:00:00
23137;2014-05-17 00:00:00
57741;2017-05-17 00:00:00
57730;2017-05-17 00:00:00
83835;2022-04-01 00:00:00
66014;2018-09-01 00:00:00
65833;2018-09-01 00:00:00
210115;2023-07-19 00:00:00
72826;2020-05-17 00:00:00
19526;2011-05-17 00:00:00
84619;2020-05-17 00:00:00
210052;2023-07-19 00:00:00
77335;2020-05-17 00:00:00
83737;2020-05-17 00:00:00
77321;2020-05-17 00:00:00
24773;2014-05-17 00:00:00
77318;2020-05-17 00:00:00
77816;2020-05-17 00:00:00
82128;2020-05-17 00:00:00
81356;2020-05-17 00:00:00
78240;2020-05-17 00:00:00
81353;2020-05-17 00:00:00
25674;2014-05-17 00:00:00
24774;2014-05-17 00:00:00
83650;2020-05-17 00:00:00
80805;2020-05-17 00:00:00
81384;2020-05-17 00:00:00
66140;2017-05-17 00:00:00
66143;2017-05-17 00:00:00
66146;2017-05-17 00:00:00
66149;2017-05-17 00:00:00
66152;2017-05-17 00:00:00
66155;2017-05-17 00:00:00
66158;2017-05-17 00:00:00
66161;2017-05-17 00:00:00
77907;2020-05-17 00:00:00
77612;2020-05-17 00:00:00
27962;2014-05-17 00:00:00
65844;2018-09-01 00:00:00
27444;2011-05-17 00:00:00
83920;2022-04-01 00:00:00
209938;2023-07-17 00:00:00
66893;2017-05-17 00:00:00
23142;2014-05-17 00:00:00
84349;2022-04-01 00:00:00
188195;2020-05-17 00:00:00
77988;2020-05-17 00:00:00
61441;2017-05-17 00:00:00
27359;2014-05-17 00:00:00
81408;2020-05-17 00:00:00
19578;2014-05-17 00:00:00
34441;2017-05-17 00:00:00
19580;2014-05-17 00:00:00
133240;2020-05-17 00:00:00
59354;2017-05-17 00:00:00
59389;2017-05-17 00:00:00
65857;2018-09-01 00:00:00
210167;2023-07-19 00:00:00
86749;2020-05-17 00:00:00
57954;2017-05-17 00:00:00
209025;2023-07-18 00:00:00
72975;2020-05-17 00:00:00
65967;2017-05-17 00:00:00
19959;2014-05-17 00:00:00
